0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:32 +0200] "GET /images/tutorials/manual.svg HTTP/1.1" 304 - "http://localhost:9000/dashboard?id=final" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAv"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:32 +0200] "GET /images/tutorials/jenkins.svg HTTP/1.1" 200 14028 "http://localhost:9000/dashboard?id=final" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAt"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:32 +0200] "GET /images/tutorials/azure-pipelines.svg HTTP/1.1" 304 - "http://localhost:9000/dashboard?id=final" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAw"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:34 +0200] "GET /api/user_tokens/search?login=admin HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final&selectedTutorial=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAx"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:35 +0200] "GET /api/ce/component?component=final HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final&selectedTutorial=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAy"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:39 +0200] "GET /api/ce/component?component=final HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final&selectedTutorial=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAAz"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:39 +0200] "POST /api/user_tokens/generate HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final&selectedTutorial=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAA0"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:42 +0200] "GET /api/ce/component?component=final HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final&selectedTutorial=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAA1"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:45 +0200] "GET /api/ce/component?component=final HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final&selectedTutorial=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAA2"
0:0:0:0:0:0:0:1 - - [21/may./2022:15:19:48 +0200] "GET /api/ce/component?component=final HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=final&selectedTutorial=manual" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36" "AYDmxSqP/fZi7Ge+AAA3"
